Employee_ID,Name,Age,Gender,Department,Designation,Salary,Experience,Joining_Date,Location,Email
E026,Amit Patil,21,Female,Operations,Analyst,33110,10.8,2020-07-07,Delhi,amit.patil@company.com
E027,Vijay Patil,25,Male,Operations,Senior Executive,31910,4.2,2022-04-16,Nagpur,vijay.patil@company.com
E028,Anita Mehta,35,Female,Sales,Manager,112054,2.1,2014-01-24,Mumbai,anita.mehta@company.com
E029,Anita Kumar,52,Male,IT,Senior Executive,79268,7.9,2014-10-24,Delhi,anita.kumar@company.com
E030,Karan Patil,57,Female,IT,Executive,96910,6.5,2018-11-17,Mumbai,karan.patil@company.com
E031,Karan Gupta,49,Male,Sales,Analyst,58827,14.2,2014-09-19,Delhi,karan.gupta@company.com
E032,Sneha Gupta,42,Male,Sales,Analyst,47299,14.0,2014-05-17,Bangalore,sneha.gupta@company.com
E033,Amit Kumar,26,Female,Sales,Executive,94163,6.5,2015-06-05,Nagpur,amit.kumar@company.com
E034,Vijay Sharma,31,Female,Marketing,Senior Executive,43047,12.2,2019-01-16,Mumbai,vijay.sharma@company.com
E035,Rahul Gupta,53,Female,Operations,Analyst,55080,3.8,2021-01-12,Pune,rahul.gupta@company.com
E036,Rahul Mehta,33,Male,IT,Senior Executive,80016,4.9,2011-12-11,Delhi,rahul.mehta@company.com
E037,Simran Deshmukh,28,Male,HR,Executive,30530,6.6,2020-04-06,Delhi,simran.deshmukh@company.com
E038,Karan Mehta,53,Male,Operations,Analyst,38545,5.4,2015-06-22,Mumbai,karan.mehta@company.com
E039,Anita Deshmukh,52,Female,Sales,Analyst,93840,6.4,2015-01-28,Nashik,anita.deshmukh@company.com
E040,Anita Sharma,32,Female,IT,Executive,77733,10.6,2014-06-25,Mumbai,anita.sharma@company.com
E041,Vijay Yadav,37,Male,HR,Analyst,51736,14.7,2012-05-04,Nagpur,vijay.yadav@company.com
E042,Simran Singh,57,Female,Sales,Executive,63623,13.7,2019-07-07,Mumbai,simran.singh@company.com
E043,Anita Chavan,22,Female,Operations,Senior Executive,112092,7.6,2014-09-30,Nashik,anita.chavan@company.com
E044,Rahul Chavan,52,Female,Sales,Analyst,88734,10.2,2010-07-22,Mumbai,rahul.chavan@company.com
E045,Karan Bande,37,Male,IT,Analyst,50342,12.1,2018-01-10,Delhi,karan.bande@company.com
E046,Simran Gupta,54,Male,HR,Assistant,90733,6.3,2019-10-23,Bangalore,simran.gupta@company.com
E047,Rajesh Singh,36,Female,IT,Executive,50184,2.7,2021-09-22,Delhi,rajesh.singh@company.com
E048,Karan Singh,26,Female,Operations,Executive,76663,1.1,2011-10-22,Nashik,karan.singh@company.com
E049,Amit Kumar,56,Female,HR,Manager,97082,10.8,2010-05-27,Bangalore,amit.kumar@company.com
E050,Vijay Kumar,40,Male,Sales,Analyst,27911,1.9,2011-05-04,Pune,vijay.kumar@company.com
E051,Vijay Mehta,53,Male,HR,Manager,108879,6.1,2016-07-13,Pune,vijay.mehta@company.com
E052,Simran Deshmukh,21,Male,HR,Manager,26802,5.4,2021-02-13,Bangalore,simran.deshmukh@company.com
E053,Karan Gupta,55,Male,Finance,Assistant,41646,10.1,2011-09-16,Nashik,karan.gupta@company.com
E054,Anita Patil,22,Male,Marketing,Analyst,56616,1.8,2020-03-12,Mumbai,anita.patil@company.com
E055,Pooja Singh,25,Male,IT,Manager,54855,9.7,2015-08-19,Pune,pooja.singh@company.com
E056,Rajesh Yadav,55,Male,Marketing,Manager,67642,11.0,2013-02-28,Nagpur,rajesh.yadav@company.com
E057,Karan Kumar,40,Female,IT,Manager,31295,6.4,2014-08-24,Pune,karan.kumar@company.com
E058,Sneha Chavan,44,Male,IT,Assistant,54299,1.7,2013-12-16,Delhi,sneha.chavan@company.com
E059,Rahul Mehta,40,Female,HR,Analyst,73354,5.9,2010-04-09,Pune,rahul.mehta@company.com
E060,Sneha Kumar,45,Female,Sales,Senior Executive,93497,2.8,2022-02-20,Mumbai,sneha.kumar@company.com
E061,Vijay Mehta,22,Male,HR,Executive,27869,7.0,2012-08-14,Bangalore,vijay.mehta@company.com
E062,Simran Singh,56,Female,HR,Senior Executive,115272,0.8,2022-04-21,Nagpur,simran.singh@company.com
E063,Simran Gupta,41,Female,Finance,Executive,111831,11.3,2013-05-03,Bangalore,simran.gupta@company.com
E064,Simran Bande,37,Male,Finance,Analyst,95271,8.7,2022-06-22,Nashik,simran.bande@company.com
E065,Vijay Gupta,42,Male,Marketing,Executive,44830,4.1,2014-08-21,Pune,vijay.gupta@company.com
E066,Rajesh Singh,28,Female,IT,Manager,44738,6.8,2023-05-26,Nashik,rajesh.singh@company.com
E067,Anita Gupta,53,Female,Marketing,Manager,64790,7.6,2022-06-15,Pune,anita.gupta@company.com
E068,Anita Yadav,39,Female,Finance,Analyst,81835,0.9,2018-07-18,Nagpur,anita.yadav@company.com
E069,Rahul Mehta,37,Male,Sales,Assistant,81491,14.1,2016-11-29,Mumbai,rahul.mehta@company.com
E070,Sneha Mehta,26,Male,Finance,Assistant,72202,11.3,2012-11-26,Nagpur,sneha.mehta@company.com
E071,Simran Mehta,44,Female,HR,Assistant,28420,6.7,2021-09-16,Nagpur,simran.mehta@company.com
E072,Vijay Bande,51,Female,Finance,Manager,91235,12.9,2010-07-10,Nagpur,vijay.bande@company.com
E073,Rajesh Gupta,41,Male,Sales,Executive,31102,4.4,2019-04-18,Bangalore,rajesh.gupta@company.com
E074,Anita Singh,38,Male,HR,Analyst,59584,6.2,2011-07-24,Bangalore,anita.singh@company.com
E075,Karan Chavan,23,Female,Finance,Assistant,76885,1.9,2020-12-28,Bangalore,karan.chavan@company.com
E076,Simran Gupta,42,Male,HR,Analyst,43070,2.5,2010-06-04,Mumbai,simran.gupta@company.com
E077,Sneha Deshmukh,22,Male,Sales,Manager,70017,11.2,2021-11-20,Bangalore,sneha.deshmukh@company.com
E078,Sneha Sharma,49,Male,IT,Executive,30801,12.2,2015-01-16,Nagpur,sneha.sharma@company.com
E079,Vijay Yadav,45,Female,HR,Executive,35647,13.7,2018-01-29,Nashik,vijay.yadav@company.com
E080,Sneha Yadav,56,Male,HR,Senior Executive,95316,3.3,2020-07-14,Pune,sneha.yadav@company.com
E081,Karan Deshmukh,36,Male,Operations,Assistant,101429,13.4,2013-03-12,Nashik,karan.deshmukh@company.com
E082,Amit Chavan,48,Female,Operations,Senior Executive,57097,1.9,2017-08-06,Nashik,amit.chavan@company.com
E083,Rahul Gupta,42,Male,IT,Manager,118848,2.7,2018-12-06,Delhi,rahul.gupta@company.com
E084,Simran Patil,42,Male,Sales,Assistant,80609,13.0,2014-09-12,Bangalore,simran.patil@company.com
E085,Rajesh Deshmukh,26,Female,IT,Manager,78006,5.7,2016-10-27,Delhi,rajesh.deshmukh@company.com
E086,Simran Patil,57,Male,HR,Senior Executive,105135,11.7,2018-05-10,Nashik,simran.patil@company.com
E087,Karan Bande,25,Male,IT,Executive,112142,1.7,2012-05-26,Pune,karan.bande@company.com
E088,Sneha Mehta,52,Male,HR,Senior Executive,81179,6.5,2021-12-13,Pune,sneha.mehta@company.com
E089,Amit Kumar,50,Male,Finance,Analyst,116794,12.0,2012-04-10,Nagpur,amit.kumar@company.com
E090,Rajesh Kumar,39,Female,Operations,Executive,53251,11.3,2013-10-01,Delhi,rajesh.kumar@company.com
E091,Karan Patil,57,Male,HR,Executive,57217,14.5,2017-10-09,Pune,karan.patil@company.com
E092,Sneha Kumar,29,Male,Marketing,Manager,99740,1.3,2022-12-13,Bangalore,sneha.kumar@company.com
E093,Simran Bande,21,Male,Finance,Manager,71175,8.5,2011-07-14,Mumbai,simran.bande@company.com
E094,Rahul Kumar,45,Male,Operations,Senior Executive,70543,14.1,2023-09-02,Mumbai,rahul.kumar@company.com
E095,Rahul Deshmukh,36,Male,Operations,Analyst,38500,11.2,2014-01-10,Delhi,rahul.deshmukh@company.com
E096,Pooja Chavan,25,Female,Sales,Assistant,84638,1.2,2021-08-20,Delhi,pooja.chavan@company.com
E097,Nisha Deshmukh,36,Male,IT,Manager,94042,11.5,2017-07-07,Pune,nisha.deshmukh@company.com
E098,Rahul Singh,49,Male,HR,Senior Executive,86389,1.8,2018-07-16,Delhi,rahul.singh@company.com
E099,Simran Yadav,50,Male,IT,Senior Executive,103781,10.7,2018-02-07,Mumbai,simran.yadav@company.com
E100,Simran Mehta,46,Female,Marketing,Executive,60247,12.2,2014-06-24,Nashik,simran.mehta@company.com
E101,Vijay Mehta,53,Male,HR,Analyst,81573,6.8,2015-09-02,Bangalore,vijay.mehta@company.com
E102,Amit Gupta,30,Female,Finance,Manager,104605,9.7,2017-10-20,Delhi,amit.gupta@company.com
E103,Vijay Gupta,51,Male,Marketing,Analyst,90417,9.6,2016-10-25,Nagpur,vijay.gupta@company.com
E104,Sneha Yadav,52,Male,Finance,Executive,85160,8.3,2022-08-17,Bangalore,sneha.yadav@company.com
E105,Sneha Chavan,36,Female,Operations,Assistant,76991,14.2,2022-07-29,Bangalore,sneha.chavan@company.com
E106,Amit Mehta,48,Female,HR,Manager,116007,9.7,2012-05-01,Nashik,amit.mehta@company.com
E107,Nisha Chavan,44,Male,Sales,Executive,84275,6.1,2016-08-24,Mumbai,nisha.chavan@company.com
E108,Vijay Patil,53,Male,Operations,Analyst,29000,12.3,2019-07-31,Nagpur,vijay.patil@company.com
E109,Rajesh Deshmukh,57,Male,HR,Executive,63304,9.9,2012-12-02,Nagpur,rajesh.deshmukh@company.com
E110,Vijay Patil,49,Male,Marketing,Senior Executive,111027,2.0,2020-11-13,Bangalore,vijay.patil@company.com
E111,Rahul Yadav,55,Male,Sales,Senior Executive,52350,1.5,2012-02-15,Mumbai,rahul.yadav@company.com
E112,Simran Mehta,49,Male,HR,Analyst,40305,0.8,2011-02-22,Delhi,simran.mehta@company.com
E113,Karan Bande,27,Female,Operations,Senior Executive,28267,10.5,2014-02-25,Pune,karan.bande@company.com
E114,Anita Patil,31,Female,HR,Executive,25412,1.1,2011-12-30,Pune,anita.patil@company.com
E115,Sneha Chavan,41,Female,Operations,Manager,114084,4.6,2019-06-28,Mumbai,sneha.chavan@company.com
E116,Simran Chavan,57,Male,Operations,Manager,43888,8.7,2017-08-18,Nashik,simran.chavan@company.com
E117,Simran Bande,55,Male,IT,Assistant,110999,2.4,2015-11-14,Pune,simran.bande@company.com
E118,Vijay Kumar,44,Female,IT,Analyst,113726,14.0,2021-04-25,Mumbai,vijay.kumar@company.com
E119,Amit Yadav,32,Male,Sales,Assistant,61208,10.4,2016-05-15,Pune,amit.yadav@company.com
E120,Simran Singh,45,Female,Sales,Analyst,93450,2.0,2020-10-27,Nagpur,simran.singh@company.com
E121,Karan Gupta,40,Female,Sales,Manager,71959,6.1,2022-04-20,Delhi,karan.gupta@company.com
E122,Pooja Sharma,39,Male,Marketing,Senior Executive,72280,1.3,2021-06-03,Nashik,pooja.sharma@company.com
E123,Rajesh Kumar,29,Female,Marketing,Assistant,60270,14.4,2017-08-14,Pune,rajesh.kumar@company.com
E124,Karan Singh,39,Female,Operations,Manager,85921,9.7,2023-08-21,Pune,karan.singh@company.com
E125,Vijay Mehta,25,Female,Finance,Analyst,114112,8.5,2019-12-16,Bangalore,vijay.mehta@company.com
E126,Anita Patil,43,Female,HR,Assistant,91703,11.9,2015-11-27,Pune,anita.patil@company.com
E127,Rajesh Deshmukh,34,Male,Finance,Executive,34348,11.2,2012-01-03,Nashik,rajesh.deshmukh@company.com
E128,Pooja Sharma,31,Female,Finance,Manager,31801,14.5,2012-08-11,Delhi,pooja.sharma@company.com
E129,Nisha Deshmukh,37,Male,Sales,Analyst,102052,12.7,2013-04-06,Nashik,nisha.deshmukh@company.com
E130,Rahul Chavan,29,Male,Operations,Analyst,118105,13.4,2013-05-02,Nagpur,rahul.chavan@company.com
E131,Rahul Mehta,25,Female,Sales,Senior Executive,113092,1.7,2016-07-14,Bangalore,rahul.mehta@company.com
E132,Rajesh Yadav,28,Male,HR,Manager,38807,13.0,2013-09-27,Bangalore,rajesh.yadav@company.com
E133,Sneha Mehta,37,Male,IT,Executive,82854,13.7,2013-08-17,Mumbai,sneha.mehta@company.com
E134,Rahul Singh,24,Female,Sales,Manager,60909,10.8,2014-12-16,Bangalore,rahul.singh@company.com
E135,Nisha Gupta,47,Male,Sales,Executive,50289,13.6,2021-04-27,Mumbai,nisha.gupta@company.com
E136,Vijay Kumar,23,Male,Finance,Executive,111188,0.7,2013-05-28,Pune,vijay.kumar@company.com
E137,Karan Yadav,40,Female,Marketing,Analyst,80771,11.6,2012-06-13,Mumbai,karan.yadav@company.com
E138,Rahul Gupta,21,Female,HR,Executive,64298,9.0,2021-09-25,Mumbai,rahul.gupta@company.com
E139,Pooja Patil,45,Female,Marketing,Senior Executive,58591,8.2,2010-05-14,Nashik,pooja.patil@company.com
E140,Vijay Singh,52,Male,IT,Manager,47700,1.1,2021-06-07,Pune,vijay.singh@company.com
E141,Amit Kumar,41,Male,Marketing,Senior Executive,86642,13.8,2013-06-04,Pune,amit.kumar@company.com
E142,Rajesh Deshmukh,39,Male,Finance,Senior Executive,38843,1.6,2013-06-10,Mumbai,rajesh.deshmukh@company.com
E143,Pooja Chavan,34,Male,Sales,Senior Executive,77638,14.9,2019-12-17,Nashik,pooja.chavan@company.com
E144,Anita Chavan,23,Male,Sales,Senior Executive,44087,11.2,2013-09-15,Pune,anita.chavan@company.com
E145,Anita Chavan,52,Male,Operations,Assistant,36023,13.4,2018-04-08,Bangalore,anita.chavan@company.com
E146,Simran Bande,44,Male,Operations,Manager,91203,5.4,2013-02-19,Bangalore,simran.bande@company.com
E147,Rajesh Patil,48,Female,IT,Assistant,86529,6.1,2011-06-24,Nashik,rajesh.patil@company.com
E148,Rajesh Gupta,48,Female,IT,Assistant,29835,14.8,2016-11-13,Mumbai,rajesh.gupta@company.com
E149,Rajesh Mehta,48,Male,Sales,Senior Executive,107844,2.4,2019-02-07,Pune,rajesh.mehta@company.com
E150,Rajesh Patil,26,Male,IT,Assistant,30713,6.5,2023-02-26,Nashik,rajesh.patil@company.com
E151,Rahul Gupta,45,Female,Finance,Analyst,90545,14.0,2023-08-13,Mumbai,rahul.gupta@company.com
E152,Rajesh Yadav,25,Female,Finance,Senior Executive,26015,6.0,2018-08-03,Bangalore,rajesh.yadav@company.com
E153,Karan Deshmukh,38,Female,Marketing,Assistant,33415,14.8,2023-07-20,Pune,karan.deshmukh@company.com
E154,Karan Gupta,46,Male,Sales,Assistant,29158,6.2,2023-02-06,Nashik,karan.gupta@company.com
E155,Pooja Yadav,33,Female,IT,Senior Executive,45384,7.3,2011-05-26,Mumbai,pooja.yadav@company.com
E156,Amit Chavan,21,Female,Marketing,Manager,25404,1.3,2022-08-19,Bangalore,amit.chavan@company.com
E157,Simran Bande,48,Male,IT,Assistant,43384,8.2,2014-07-27,Delhi,simran.bande@company.com
E158,Rajesh Deshmukh,23,Male,Sales,Analyst,75612,9.0,2019-12-16,Bangalore,rajesh.deshmukh@company.com
E159,Rahul Bande,57,Female,Sales,Executive,29809,12.8,2015-08-11,Nashik,rahul.bande@company.com
E160,Amit Chavan,33,Female,Finance,Senior Executive,82091,3.8,2023-08-17,Delhi,amit.chavan@company.com
E161,Anita Patil,52,Female,IT,Analyst,117193,5.7,2014-04-24,Nashik,anita.patil@company.com
E162,Anita Mehta,46,Female,Marketing,Analyst,83017,7.4,2012-02-10,Delhi,anita.mehta@company.com
E163,Sneha Patil,32,Male,Marketing,Analyst,67944,8.5,2011-01-24,Nagpur,sneha.patil@company.com
E164,Simran Mehta,50,Female,Sales,Senior Executive,49285,12.0,2022-12-03,Nashik,simran.mehta@company.com
E165,Rahul Kumar,43,Male,IT,Manager,69238,11.9,2020-11-25,Nagpur,rahul.kumar@company.com
E166,Rahul Patil,22,Male,Finance,Manager,117234,3.6,2023-04-22,Bangalore,rahul.patil@company.com
E167,Rajesh Mehta,54,Female,HR,Analyst,31949,9.3,2013-09-20,Mumbai,rajesh.mehta@company.com
E168,Amit Deshmukh,47,Male,Finance,Analyst,86886,11.0,2021-11-23,Nashik,amit.deshmukh@company.com
E169,Vijay Bande,53,Female,HR,Assistant,67318,6.2,2023-04-17,Nashik,vijay.bande@company.com
E170,Sneha Sharma,37,Female,Operations,Manager,64811,7.2,2019-07-05,Bangalore,sneha.sharma@company.com
E171,Sneha Bande,30,Male,HR,Executive,44963,1.5,2021-05-27,Mumbai,sneha.bande@company.com
E172,Rahul Kumar,54,Female,IT,Executive,98477,7.6,2021-10-10,Mumbai,rahul.kumar@company.com
E173,Pooja Yadav,31,Female,HR,Assistant,31254,2.4,2019-06-08,Bangalore,pooja.yadav@company.com
E174,Nisha Deshmukh,36,Male,Marketing,Manager,49071,3.1,2018-01-26,Mumbai,nisha.deshmukh@company.com
E175,Nisha Singh,45,Male,Sales,Senior Executive,108807,7.4,2021-06-20,Bangalore,nisha.singh@company.com
E176,Simran Kumar,52,Female,Finance,Manager,100697,9.2,2018-07-20,Bangalore,simran.kumar@company.com
E177,Sneha Bande,39,Female,Marketing,Senior Executive,82108,2.9,2022-11-13,Pune,sneha.bande@company.com
E178,Nisha Patil,42,Male,Operations,Analyst,104252,8.5,2011-06-08,Delhi,nisha.patil@company.com
E179,Anita Kumar,46,Female,Operations,Manager,118229,5.8,2014-10-20,Nashik,anita.kumar@company.com
E180,Anita Bande,47,Male,HR,Manager,48624,1.8,2016-03-11,Nashik,anita.bande@company.com
E181,Karan Singh,50,Female,Finance,Manager,44262,6.0,2022-02-19,Delhi,karan.singh@company.com
E182,Sneha Mehta,46,Female,HR,Assistant,89291,12.2,2022-12-04,Bangalore,sneha.mehta@company.com
E183,Rajesh Chavan,55,Male,Marketing,Senior Executive,75428,14.8,2010-10-30,Delhi,rajesh.chavan@company.com
E184,Nisha Chavan,42,Male,IT,Analyst,33717,9.5,2015-10-27,Mumbai,nisha.chavan@company.com
E185,Rajesh Sharma,44,Male,IT,Executive,41748,1.4,2023-08-19,Mumbai,rajesh.sharma@company.com
E186,Pooja Deshmukh,27,Female,IT,Senior Executive,30122,13.5,2017-08-29,Pune,pooja.deshmukh@company.com
E187,Pooja Singh,38,Female,Finance,Senior Executive,113869,8.2,2018-06-14,Pune,pooja.singh@company.com
E188,Anita Deshmukh,45,Male,IT,Manager,63518,6.0,2011-12-15,Pune,anita.deshmukh@company.com
E189,Karan Gupta,37,Male,HR,Executive,31229,5.2,2022-09-07,Pune,karan.gupta@company.com
E190,Vijay Chavan,37,Male,IT,Executive,28596,9.1,2014-05-23,Bangalore,vijay.chavan@company.com
E191,Vijay Sharma,30,Male,HR,Senior Executive,98794,9.9,2013-03-15,Pune,vijay.sharma@company.com
E192,Rajesh Bande,56,Male,HR,Senior Executive,51069,9.0,2020-12-21,Nashik,rajesh.bande@company.com
E193,Pooja Sharma,39,Male,IT,Assistant,106449,4.6,2017-07-02,Pune,pooja.sharma@company.com
E194,Rahul Patil,46,Female,Operations,Assistant,73447,8.8,2015-05-30,Mumbai,rahul.patil@company.com
E195,Sneha Mehta,26,Male,Finance,Manager,28812,14.0,2013-12-31,Mumbai,sneha.mehta@company.com
E196,Rahul Bande,42,Male,Marketing,Manager,117436,2.7,2017-01-07,Bangalore,rahul.bande@company.com
E197,Vijay Yadav,50,Male,Finance,Analyst,81138,1.8,2016-07-25,Pune,vijay.yadav@company.com
E198,Karan Kumar,51,Female,Finance,Executive,110655,13.5,2023-04-17,Pune,karan.kumar@company.com
E199,Nisha Gupta,23,Female,IT,Analyst,49818,0.8,2021-11-03,Delhi,nisha.gupta@company.com
E200,Vijay Sharma,56,Female,Finance,Senior Executive,34111,2.1,2011-04-13,Nagpur,vijay.sharma@company.com
